FITSFILE,OBJECT,DATE-OBS,PRISM,QOFFSET,OBSTYPE,GRATWAVE,DEC,POFFSET,GCALLAMP,CAMERA,RA,DATETIME,Q,P,SLIT,OBSCLASS,GRATING,TIME-OBS,EXPTIME,DECKER,COORDS,OBSID,CONFIG,AVETIME
N20110516S0181.fits,HIP65159,20110516,SB+SXD_G5536,-2.30557477522,OBJECT,1.6499,37.85710833,0.644700535974,,ShortBlue_G5538,200.29537083,2011-05-16 10:39:58.400000,,,0.68arcsec_G5530,acqCal,32/mmSB_G5533,10:39:58.4,0.2,SCXD_G5531,200.30 37.86,GN-2011A-Q-126-12,SB_SXD_32_0.68arcsec_1.6499um,2011-05-16 10:39:58.400000
N20110516S0182.fits,HIP65159,20110516,SB+SXD_G5536,-1.30557477522,OBJECT,1.6499,37.85710833,0.644700535974,,ShortBlue_G5538,200.29537083,2011-05-16 10:41:34.900000,1.0000000000000002,0.0,0.68arcsec_G5530,partnerCal,32/mmSB_G5533,10:41:34.9,4.0,SCXD_G5531,200.30 37.86,GN-2011A-Q-126-13,SB_SXD_32_0.68arcsec_1.6499um,2011-05-16 10:43:09.900000
N20110516S0183.fits,HIP65159,20110516,SB+SXD_G5536,-4.30557477522,OBJECT,1.6499,37.85710833,0.644700535974,,ShortBlue_G5538,200.29537083,2011-05-16 10:42:03.900000,-2.0,0.0,0.68arcsec_G5530,partnerCal,32/mmSB_G5533,10:42:03.9,4.0,SCXD_G5531,200.30 37.86,GN-2011A-Q-126-13,SB_SXD_32_0.68arcsec_1.6499um,2011-05-16 10:43:09.900000
N20110516S0184.fits,HIP65159,20110516,SB+SXD_G5536,-4.30557477522,OBJECT,1.6499,37.85710833,0.644700535974,,ShortBlue_G5538,200.29537083,2011-05-16 10:42:44.400000,-2.0,0.0,0.68arcsec_G5530,partnerCal,32/mmSB_G5533,10:42:44.4,2.0,SCXD_G5531,200.30 37.86,GN-2011A-Q-126-13,SB_SXD_32_0.68arcsec_1.6499um,2011-05-16 10:43:09.900000
N20110516S0185.fits,HIP65159,20110516,SB+SXD_G5536,-1.30557477522,OBJECT,1.6499,37.85710833,0.644700535974,,ShortBlue_G5538,200.29537083,2011-05-16 10:43:06.900000,1.0000000000000002,0.0,0.68arcsec_G5530,partnerCal,32/mmSB_G5533,10:43:06.9,2.0,SCXD_G5531,200.30 37.86,GN-2011A-Q-126-13,SB_SXD_32_0.68arcsec_1.6499um,2011-05-16 10:43:09.900000
N20110516S0186.fits,HIP65159,20110516,SB+SXD_G5536,-1.30557477522,OBJECT,1.6499,37.85710833,0.644700535974,,ShortBlue_G5538,200.29537083,2011-05-16 10:43:35.900000,1.0000000000000002,0.0,0.68arcsec_G5530,partnerCal,32/mmSB_G5533,10:43:35.9,1.0,SCXD_G5531,200.30 37.86,GN-2011A-Q-126-13,SB_SXD_32_0.68arcsec_1.6499um,2011-05-16 10:43:09.900000
N20110516S0187.fits,HIP65159,20110516,SB+SXD_G5536,-4.30557477522,OBJECT,1.6499,37.85710833,0.644700535974,,ShortBlue_G5538,200.29537083,2011-05-16 10:43:58.900000,-2.0,0.0,0.68arcsec_G5530,partnerCal,32/mmSB_G5533,10:43:58.9,1.0,SCXD_G5531,200.30 37.86,GN-2011A-Q-126-13,SB_SXD_32_0.68arcsec_1.6499um,2011-05-16 10:43:09.900000
N20110516S0188.fits,HIP65159,20110516,SB+SXD_G5536,-4.30557477522,OBJECT,1.6499,37.85710833,0.644700535974,,ShortBlue_G5538,200.29537083,2011-05-16 10:44:21.900000,-2.0,0.0,0.68arcsec_G5530,partnerCal,32/mmSB_G5533,10:44:21.9,1.0,SCXD_G5531,200.30 37.86,GN-2011A-Q-126-13,SB_SXD_32_0.68arcsec_1.6499um,2011-05-16 10:43:09.900000
N20110516S0189.fits,HIP65159,20110516,SB+SXD_G5536,-1.30557477522,OBJECT,1.6499,37.85710833,0.644700535974,,ShortBlue_G5538,200.29537083,2011-05-16 10:44:44.900000,1.0000000000000002,0.0,0.68arcsec_G5530,partnerCal,32/mmSB_G5533,10:44:44.9,1.0,SCXD_G5531,200.30 37.86,GN-2011A-Q-126-13,SB_SXD_32_0.68arcsec_1.6499um,2011-05-16 10:43:09.900000
